PONDERADOR	A1_COD	D1	D2_COD	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	SEXO	E2	E3	E4	E5	PROV	CANT_COD	F1	F2	F3	F4	F5	F6	F7	G1	G2	G3	G4	G5_COD	G6	G7	G8	G9	G10_COD	G11_COD	edadgrupo	educagrupo
1,643	99	1	99999	2	2	1	1	2	2	99999	99999	99999	1	2	77	1	1	5	6	6-09 PARRITA	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	1
1,079	3	1	99999	2	1	1	2	1	1	1	1	99999	1	2	49	1	4	4	3	3-01 CARTAGO	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	2	2
,505	6	1	99999	2	1	2	2	2	1	1	1	2	2	2	23	1	5	2	1	1-18 CURRIDABAT	2	1	2	1	1	2	1	1	1	1	99999	99999	99999	9	2	1	7	99999	1	3
,393	2	2	5	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	70	1	5	5	1	1-18 CURRIDABAT	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	2	2	1	7	99999	3	3
,608	3	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	24	1	5	2	3	3-05 TURRIALBA	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	1	3
,424	6	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	40	1	5	6	4	4-01 HEREDIA	2	1	9	1	1	2	2	1	3	1	99999	99999	99999	1	1	1	7	99999	2	3
,389	1	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	34	1	5	6	4	4-03 SANTO DOMINGO	2	1	1	2	1	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
1,821	7	1	99999	1	99999	99999	99999	1	2	99999	99999	99999	3	2	46	1	1	4	1	1-19 PEREZ ZELEDON	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	2	2	7	99999	2	1
,505	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	25	1	5	1	1	1-15 MONTES DE OCA	2	1	2	1	2	2	2	1	4	2	1	99999	99999	2	1	1	7	99999	1	3
,389	5	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	43	1	5	1	5	5-04 BAGACES	2	1	1	2	2	2	1	1	4	2	1	99999	99999	2	1	1	7	99999	2	3
,505	1	1	99999	2	1	1	99999	2	1	1	2	2	3	2	23	1	5	3	4	4-10 SARAPIQUI	2	1	1	2	2	2	1	1	1	1	99999	99999	99999	2	1	2	7	99999	1	3
,505	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	22	1	5	3	2	2-08 POAS	1	1	1	1	2	2	1	1	4	1	99999	99999	99999	1	1	1	7	99999	1	3
,424	2	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	38	1	5	1	1	1-15 MONTES DE OCA	1	1	2	2	1	2	2	2	99999	99999	99999	99999	99999	2	2	1	7	99999	2	3
,881	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	43	1	4	6	4	4-07 BELEN	1	1	1	2	1	2	1	1	4	1	99999	99999	99999	1	1	1	7	99999	2	2
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	47	1	5	6	2	2-10 SAN CARLOS	1	1	1	2	2	2	1	1	9	2	1	99999	99999	2	2	1	7	99999	2	3
,424	3	2	7	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	44	1	5	1	5	5-01 LIBERIA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	3
,399	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	58	1	5	1	1	1-09 SANTA ANA	1	1	1	1	1	1	1	1	3	1	99999	99999	99999	2	1	1	7	99999	3	3
,608	1	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	18	1	5	2	1	1-05 TARRAZU	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
,399	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	50	1	5	1	1	1-01 SAN JOSE	1	1	1	2	2	2	1	1	1	2	1	99999	99999	2	2	1	7	99999	3	3
2,124	2	1	99999	2	1	1	1	2	2	99999	99999	99999	4	1	67	1	2	5	4	4-05 SAN RAFAEL	1	1	1	1	2	2	1	1	1	1	99999	99999	99999	2	2	1	7	99999	3	1
4,193	99	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	25	1	2	4	6	6-06 AGUIRRE	2	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	1
,424	3	1	99999	2	1	2	2	2	2	99999	99999	99999	5	2	49	1	5	1	7	7-02 POCOCI	2	1	1	1	2	2	1	1	5	1	99999	99999	99999	1	1	1	7	99999	2	3
1,095	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	72	1	3	1	3	3-01 CARTAGO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	2
,424	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	38	1	5	1	4	4-03 SANTO DOMINGO	1	1	1	1	1	1	1	1	3	1	99999	99999	99999	2	1	1	7	99999	2	3
1,006	6	1	99999	2	1	1	2	2	1	1	2	2	2	1	58	1	4	1	1	1-08 GOICOECHEA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	1	7	99999	3	2
1,079	6	1	99999	1	1	2	2	1	1	2	1	2	2	2	38	1	3	6	2	2-10 SAN CARLOS	2	1	1	1	2	2	1	1	1	2	1	99999	99999	2	1	2	7	99999	2	2
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	46	1	5	1	1	1-13 TIBAS	1	1	1	1	2	2	1	1	1	2	1	99999	99999	2	2	1	7	99999	2	3
,393	99	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	2	50	8	5	4	2	2-09 OROTINA	2	1	1	1	1	2	1	1	6	1	99999	99999	99999	1	1	1	7	99999	3	3
,881	6	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	36	1	3	1	2	2-12 VALVERDE VEGA	1	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	1	7	99999	2	2
,399	6	1	99999	2	1	1	1	1	1	1	2	99999	1	1	50	1	5	1	2	2-10 SAN CARLOS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	3
,389	1	1	99999	1	1	1	99999	1	1	1	1	2	2	1	47	1	5	1	1	1-03 DESAMPARADOS	2	1	2	2	2	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	2	3
1,095	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	56	1	4	1	7	7-02 POCOCI	1	1	2	1	2	2	1	1	4	1	99999	99999	99999	1	2	2	7	99999	3	2
,399	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	57	1	5	6	4	4-08 FLORES	1	1	1	1	1	2	1	1	9	9	9	9	2	1	1	1	7	99999	3	3
1,006	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	54	1	4	1	1	1-13 TIBAS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
2,503	1	2	7	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	44	1	2	1	1	1-11 CORONADO	2	1	1	1	2	2	1	1	9	9	9	9	9	2	2	1	7	99999	2	1
,393	5	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	60	1	5	5	1	1-01 SAN JOSE	1	1	1	1	1	1	1	1	6	2	1	99999	99999	2	2	1	7	99999	3	3
2,438	9	1	99999	2	1	1	2	2	2	99999	99999	99999	5	2	22	1	4	1	1	NS/NR	2	1	1	1	1	2	1	1	3	1	99999	99999	99999	1	2	2	7	99999	1	2
1,643	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	67	1	2	8	4	4-05 SAN RAFAEL	1	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	1
,399	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	67	1	5	5	1	1-01 SAN JOSE	2	1	1	2	2	1	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	3
,424	99	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	40	1	5	1	1	NS/NR	9	9	9	9	9	9	9	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
,424	1	1	99999	2	1	2	2	2	1	1	2	2	2	2	42	1	5	1	4	4-09 SAN PABLO	1	1	1	1	1	2	1	1	3	2	1	99999	99999	2	2	1	7	99999	2	3
1,593	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	27	1	4	1	5	5-06 CAÑAS	2	1	2	2	2	2	1	1	3	1	99999	99999	99999	2	2	1	7	99999	1	2
,399	9	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	56	1	5	5	1	1-15 MONTES DE OCA	1	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	3	3
1,643	8	1	99999	2	1	1	1	2	1	2	2	2	2	2	59	1	1	4	3	3-06 ALVARADO	2	1	2	2	2	2	2	1	6	1	99999	99999	99999	1	1	2	7	99999	3	1
,389	3	1	99999	1	2	1	2	1	1	1	1	2	2	1	32	1	5	3	2	2-09 OROTINA	2	1	2	1	2	2	1	1	3	1	99999	99999	99999	1	1	1	7	99999	2	3
1,006	99	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	54	1	3	1	1	1-04 PURISCAL	1	1	1	1	2	2	1	1	6	2	1	99999	99999	2	1	2	7	99999	3	2
1,079	3	1	99999	1	2	1	1	1	1	1	1	2	3	2	40	1	3	4	6	6-05 OSA	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	1	7	99999	2	2
1,593	9	1	99999	2	99999	99999	99999	99999	1	1	1	2	9	1	22	1	3	1	2	2-02 SAN RAMON	2	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	2
,399	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	71	1	5	5	1	1-01 SAN JOSE	1	2	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	3
,424	9	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	39	1	5	4	1	1-13 TIBAS	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	3
1,006	2	1	99999	2	1	1	2	2	2	99999	99999	99999	5	1	52	1	4	1	3	3-01 CARTAGO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
,608	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	18	1	5	2	3	3-08 EL GUARCO	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	2	2	1	7	99999	1	3
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	50	1	5	4	1	1-18 CURRIDABAT	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	3
,389	6	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	1	37	1	5	1	2	2-03 GRECIA	1	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
1,821	6	1	99999	2	1	1	2	2	1	2	2	2	2	2	42	1	2	4	1	1-19 PEREZ ZELEDON	2	1	1	2	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	1
,608	1	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	25	1	5	3	1	1-12 ACOSTA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	7	99999	1	3
,399	3	1	99999	2	1	1	2	2	2	99999	99999	99999	2	1	66	1	5	5	1	1-01 SAN JOSE	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	3
1,095	7	1	99999	1	1	1	1	1	1	1	1	2	1	2	55	1	4	4	6	6-08 COTO BRUS	1	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
,399	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	63	1	5	5	7	7-01 LIMON	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	2	1	7	99999	3	3
1,593	9	1	99999	2	1	2	1	2	1	2	1	2	2	1	21	1	4	3	1	1-19 PEREZ ZELEDON	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	1	1	2	7	99999	1	2
2,124	2	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	53	1	2	1	6	6-06 AGUIRRE	1	1	1	1	2	2	2	1	1	1	99999	99999	99999	2	1	2	7	99999	3	1
,393	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	64	1	5	5	1	1-15 MONTES DE OCA	1	1	1	1	1	1	1	1	3	1	99999	99999	99999	2	2	1	7	99999	3	3
,608	1	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	21	1	5	3	4	NS/NR	2	1	1	1	1	1	9	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	3
1,079	5	1	99999	2	1	2	2	1	1	2	2	2	1	2	48	1	4	1	2	2-02 SAN RAMON	2	1	2	2	2	2	1	1	5	2	1	99999	99999	2	1	1	7	99999	2	2
,881	1	2	5	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	43	1	4	1	2	2-01 ALAJUELA	2	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	2
1,079	3	1	99999	2	1	1	2	1	1	1	1	2	2	2	43	1	4	4	3	3-07 OREAMUNO	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	2	2
,389	3	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	35	1	5	1	6	6-01 PUNTARENAS	2	1	1	1	2	2	1	1	5	1	99999	99999	99999	1	1	1	7	99999	2	3
,881	3	1	99999	2	1	2	1	2	1	1	1	2	3	1	47	1	3	1	7	7-06 GUACIMO	2	1	1	2	2	2	2	1	5	1	99999	99999	99999	1	1	2	7	99999	2	2
,399	7	1	99999	2	1	1	1	99999	2	99999	99999	99999	3	1	75	1	5	5	3	3-03 LA UNION	1	1	2	1	1	2	2	1	5	1	99999	99999	99999	2	1	2	7	99999	3	3
1,643	6	1	99999	2	1	1	1	1	1	1	1	2	1	2	59	2	2	1	2	2-10 SAN CARLOS	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	1
1,006	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	52	8	4	3	1	1-09 SANTA ANA	2	1	1	1	1	2	2	1	3	2	1	99999	99999	1	1	1	7	99999	3	2
,424	3	1	99999	2	1	2	2	1	2	99999	99999	99999	2	2	33	1	5	1	1	1-09 SANTA ANA	1	1	1	1	1	2	1	1	1	1	99999	99999	99999	1	1	1	7	99999	2	3
,505	1	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	20	1	5	2	5	5-03 SANTA CRUZ	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
,393	1	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	58	1	5	5	2	2-01 ALAJUELA	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	2	2	7	99999	3	3
,424	5	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	32	1	5	1	4	4-02 BARVA	2	1	2	1	1	2	2	1	1	1	99999	99999	99999	2	1	2	7	99999	2	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	40	1	5	1	2	2-01 ALAJUELA	2	1	1	2	2	1	2	1	1	1	99999	99999	99999	2	2	1	7	99999	2	3
1,006	3	1	99999	1	1	2	99999	1	1	1	1	2	2	1	64	1	4	6	7	7-02 POCOCI	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	2
,393	5	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	59	1	5	1	1	1-13 TIBAS	1	1	2	2	2	2	1	1	3	1	99999	99999	99999	2	2	1	7	99999	3	3
,393	3	1	99999	2	1	1	2	1	2	99999	99999	99999	1	2	51	1	5	3	5	5-03 SANTA CRUZ	2	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	3	3
,424	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	34	1	5	4	2	2-03 GRECIA	1	1	1	1	1	2	1	1	6	2	2	8	99999	2	1	1	7	99999	2	3
,424	2	1	99999	2	2	2	2	2	1	1	1	2	2	2	49	1	5	4	3	3-03 LA UNION	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	2	1	1	7	99999	2	3
2,503	5	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	45	1	1	1	7	7-02 POCOCI	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	1
1,095	99	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	55	1	3	4	2	2-03 GRECIA	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	7	99999	3	2
,389	99	1	99999	1	1	1	2	2	2	99999	99999	99999	4	1	36	1	5	6	1	1-03 DESAMPARADOS	1	1	2	2	2	2	2	1	1	1	99999	99999	99999	2	2	1	7	99999	2	3
,505	3	1	99999	2	1	1	2	1	1	1	1	2	5	2	28	1	5	3	4	4-02 BARVA	1	1	2	1	2	2	1	1	1	2	1	99999	99999	2	1	1	7	99999	1	3
,389	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	41	1	5	1	2	2-02 SAN RAMON	1	1	1	2	2	2	1	1	3	1	99999	99999	99999	1	1	1	7	99999	2	3
,399	4	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	53	1	5	1	4	4-01 HEREDIA	1	1	1	1	1	2	1	1	5	1	99999	99999	99999	2	2	1	7	99999	3	3
,393	9	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	55	1	5	1	1	1-14 MORAVIA	1	1	1	2	2	2	2	1	4	2	1	99999	99999	2	1	1	7	99999	3	3
,881	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	37	1	3	1	3	3-03 LA UNION	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	2	2
4,193	5	1	99999	2	1	1	1	1	1	1	1	1	2	2	25	1	2	1	2	2-02 SAN RAMON	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	1	1
,424	1	1	99999	2	2	99999	2	1	1	99999	1	2	2	2	42	1	5	1	1	1-10 ALAJUELITA	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	2	3
1,079	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	2	45	1	3	4	1	1-01 SAN JOSE	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	2
,389	3	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	35	1	5	1	4	4-05 SAN RAFAEL	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	2	3
1,079	6	1	99999	2	1	1	1	2	1	1	2	2	2	2	43	1	4	1	4	4-03 SANTO DOMINGO	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	2
1,643	3	1	99999	2	1	2	2	1	1	1	1	2	2	2	51	1	2	1	1	NS/NR	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	3	1
,608	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	24	1	5	3	6	6-06 AGUIRRE	1	1	2	1	2	1	1	1	1	1	99999	99999	99999	2	1	1	7	99999	1	3
,389	1	1	99999	1	1	2	2	1	1	1	1	2	2	1	30	1	5	1	5	5-03 SANTA CRUZ	2	1	1	1	1	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
2,503	9	1	99999	2	1	1	2	1	1	1	2	2	2	1	42	1	2	1	3	3-05 TURRIALBA	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	1
2,124	99	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	63	1	1	5	6	6-06 AGUIRRE	1	2	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	1
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	55	1	5	4	1	1-19 PEREZ ZELEDON	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	1	2	1	7	99999	3	3
2,124	5	1	99999	1	2	1	2	1	1	1	1	2	2	1	60	1	2	1	2	2-01 ALAJUELA	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	1	1	2	7	99999	3	1
,608	8	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	28	1	5	1	1	1-08 GOICOECHEA	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	3
,389	9	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	39	1	5	1	5	5-06 CAÑAS	2	1	1	2	2	2	1	1	6	2	1	99999	99999	2	1	1	7	99999	2	3
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	42	3	5	1	4	4-04 SANTA BARBARA	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	2	2	1	7	99999	2	3
,393	6	1	99999	1	1	2	2	2	2	99999	99999	99999	4	2	60	1	5	5	2	2-01 ALAJUELA	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	3
,393	2	1	99999	2	1	1	2	1	1	1	1	2	2	2	57	1	5	1	1	1-10 ALAJUELITA	1	1	1	1	2	1	1	1	4	1	99999	99999	99999	1	1	1	7	99999	3	3
1,095	3	1	99999	2	1	2	1	1	1	1	1	2	2	2	55	1	3	1	6	6-01 PUNTARENAS	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	1	1	2	7	99999	3	2
1,821	5	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	39	1	2	1	6	6-01 PUNTARENAS	2	1	1	1	2	2	1	1	1	1	99999	99999	99999	2	1	1	7	99999	2	1
,505	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	21	1	5	2	2	2-02 SAN RAMON	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	1	3
2,124	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	67	1	2	5	2	2-08 POAS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	9	1	1	7	99999	3	1
,505	6	1	99999	2	1	1	2	1	2	99999	99999	99999	2	2	28	1	5	1	4	4-01 HEREDIA	2	1	1	1	2	2	1	1	6	2	1	99999	99999	2	99999	1	7	99999	1	3
,393	1	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	50	1	5	1	6	6-01 PUNTARENAS	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	3
,608	9	1	99999	1	1	2	2	99999	99999	99999	99999	99999	4	1	26	1	5	1	1	1-08 GOICOECHEA	2	1	2	1	1	2	2	1	1	1	99999	99999	99999	2	1	1	7	99999	1	3
,389	2	1	99999	1	2	1	2	1	1	1	1	2	1	1	39	1	5	1	3	3-05 TURRIALBA	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
,393	2	1	99999	2	2	2	2	2	1	1	2	2	2	2	59	1	5	1	6	6-06 AGUIRRE	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	1	1	1	7	99999	3	3
,389	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	39	1	5	1	1	1-03 DESAMPARADOS	2	1	1	2	1	2	1	1	3	2	1	99999	99999	1	1	1	7	99999	2	3
1,643	4	1	99999	1	1	1	1	1	1	1	1	2	4	2	57	1	2	1	4	4-05 SAN RAFAEL	1	2	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	3	1
1,006	99	1	99999	2	2	2	2	1	1	1	1	2	2	1	54	1	4	1	1	1-19 PEREZ ZELEDON	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
1,006	9	1	99999	1	2	2	2	1	1	2	1	2	2	1	52	1	4	1	4	4-05 SAN RAFAEL	1	1	1	1	1	2	1	1	3	1	99999	99999	99999	1	1	1	7	99999	3	2
2,503	7	1	99999	2	1	1	2	1	1	1	2	2	3	1	45	1	2	1	3	3-06 ALVARADO	2	1	1	2	2	2	2	1	3	1	99999	99999	99999	1	1	1	7	99999	2	1
1,643	6	1	99999	2	2	2	2	2	2	99999	99999	99999	5	2	63	1	2	4	7	7-02 POCOCI	1	2	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	1
2,124	3	1	99999	2	1	2	1	1	1	1	1	2	3	1	56	1	2	1	1	1-01 SAN JOSE	1	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	1
,505	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	25	1	5	3	3	3-01 CARTAGO	1	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	1	3
,399	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	57	1	5	5	1	1-09 SANTA ANA	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	2	1	7	99999	3	3
,505	99	1	99999	2	1	2	99999	1	1	1	2	1	2	2	18	1	5	2	1	1-12 ACOSTA	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	1	3
,393	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	2	59	1	5	1	2	2-01 ALAJUELA	1	1	2	1	2	2	1	1	3	1	99999	99999	99999	2	1	1	7	99999	3	3
,393	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	63	1	5	5	1	1-01 SAN JOSE	1	2	2	1	1	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	3
1,593	6	1	99999	1	2	2	1	1	1	1	2	2	2	1	19	1	3	3	7	7-06 GUACIMO	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	1	2
2,124	2	1	99999	2	1	2	99999	2	1	1	2	2	2	1	52	1	2	1	2	2-07 PALMARES	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	1
1,095	3	1	99999	2	99999	2	1	1	1	1	1	2	2	2	52	1	4	4	3	3-01 CARTAGO	1	1	1	1	1	2	1	1	9	2	9	6	99999	2	1	1	7	99999	3	2
1,095	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	60	1	3	4	5	5-08 TILARAN	1	1	2	2	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	2
1,643	6	1	99999	2	1	1	2	2	1	1	2	2	3	2	65	1	2	5	1	1-19 PEREZ ZELEDON	2	1	2	2	2	2	1	1	5	1	99999	99999	99999	1	1	1	7	99999	3	1
1,079	9	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	48	1	3	1	2	2-01 ALAJUELA	1	1	1	1	1	1	1	1	3	2	1	99999	99999	1	1	1	7	99999	2	2
